Time,Queue Size,Event
19.28160000000004,3,size
19.28160000000004,4,size
19.28160000000004,5,size
19.28160000000004,6,size
19.28160000000004,7,size
19.28160000000004,8,size
19.28160000000004,9,size
19.28160000000004,10,size
19.28160000000004,10,drop
19.28160000000004,10,drop
19.28160000000004,10,drop
19.28160000000004,10,drop
19.28240000000004,9,size
19.283200000000043,8,size
19.284000000000045,7,size
19.284800000000047,6,size
19.28560000000005,5,size
19.28640000000005,4,size
19.287200000000052,3,size
19.288000000000054,2,size
19.288800000000055,1,size
19.289600000000057,0,size
20.35200000000006,1,size
20.35200000000006,2,size
20.35200000000006,3,size
20.35200000000006,4,size
20.35200000000006,5,size
20.35200000000006,6,size
20.35200000000006,7,size
20.35200000000006,8,size
20.35200000000006,9,size
20.35200000000006,10,size
20.35200000000006,10,drop
20.35200000000006,10,drop
20.35200000000006,10,drop
20.35200000000006,10,drop
20.352800000000062,9,size
20.353600000000064,8,size
20.354400000000066,7,size
20.355200000000067,6,size
20.35600000000007,5,size
20.35680000000007,4,size
20.357600000000073,3,size
20.358400000000074,2,size
20.359200000000076,1,size
20.360000000000078,0,size
20.374400000000065,1,size
20.374400000000065,2,size
20.374400000000065,3,size
20.374400000000065,4,size
20.374400000000065,5,size
20.374400000000065,6,size
20.374400000000065,7,size
20.374400000000065,8,size
20.374400000000065,9,size
20.374400000000065,10,size
20.374400000000065,10,drop
20.375200000000067,9,size
20.37600000000007,8,size
20.37680000000007,7,size
20.377600000000072,6,size
20.378400000000074,5,size
20.379200000000075,4,size
20.380000000000077,3,size
20.38080000000008,2,size
20.38160000000008,1,size
20.382400000000082,0,size
21.424000000000085,1,size
21.424000000000085,2,size
21.424000000000085,3,size
21.424000000000085,4,size
21.424000000000085,5,size
21.424000000000085,6,size
21.424000000000085,7,size
21.424000000000085,8,size
21.424000000000085,9,size
21.424000000000085,10,size
21.424000000000085,10,drop
21.424000000000085,10,drop
21.424000000000085,10,drop
21.424000000000085,10,drop
21.424800000000086,9,size
21.425600000000088,8,size
21.42640000000009,7,size
21.42720000000009,6,size
21.428000000000093,5,size
21.428800000000095,4,size
21.429600000000097,3,size
21.4304000000001,2,size
21.4312000000001,1,size
21.4320000000001,0,size
22.494400000000105,1,size
22.494400000000105,2,size
22.494400000000105,3,size
22.494400000000105,4,size
22.494400000000105,5,size
22.494400000000105,6,size
22.494400000000105,7,size
22.494400000000105,8,size
22.494400000000105,9,size
22.494400000000105,10,size
22.494400000000105,10,drop
22.494400000000105,10,drop
22.494400000000105,10,drop
22.494400000000105,10,drop
22.495200000000107,9,size
22.49600000000011,8,size
22.49680000000011,7,size
22.497600000000112,6,size
22.498400000000114,5,size
22.499200000000116,4,size
22.500000000000117,3,size
22.50080000000012,2,size
22.50160000000012,1,size
22.502400000000122,0,size
22.51680000000011,1,size
22.51680000000011,2,size
22.51680000000011,3,size
22.51680000000011,4,size
22.51680000000011,5,size
22.51680000000011,6,size
22.51680000000011,7,size
22.51680000000011,8,size
22.51680000000011,9,size
22.51680000000011,10,size
22.51680000000011,10,drop
22.51760000000011,9,size
22.518400000000113,8,size
22.519200000000115,7,size
22.520000000000117,6,size
22.52080000000012,5,size
22.52160000000012,4,size
22.522400000000122,3,size
22.523200000000124,2,size
22.524000000000125,1,size
22.524800000000127,0,size
23.56640000000013,1,size
